Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
9278.0,7.0,2002.0,4.0,361.0,4.01,1.26,0.87,0.17,6.31,92.0,61.0,83.0,439.0,1008.0,1.0
9128.0,23.0,1992.0,2.0,85.0,2.47,0.83,2.87,0.12,6.3,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
11088.0,13.0,2004.0,7.0,21.0,0.08,6.21,0.0,0.0,6.29,93.0,57.0,70.0,2182.0,214.0,7.0
2546.0,15.0,1999.0,0.0,178.0,3.11,2.8,0.02,0.33,6.27,87.0,22.0,78.0,78.0,1190.0,7.0
3483.0,28.0,2011.0,8.0,325.0,4.05,1.59,0.07,0.5,6.21,91.0,96.0,75.0,1504.0,485.0,5.0
4878.0,28.0,2010.0,10.0,325.0,3.92,1.73,0.03,0.51,6.19,73.0,51.0,71.0,95.0,1160.0,2.0
3481.0,28.0,2006.0,8.0,325.0,3.54,1.88,0.07,0.6,6.09,94.0,88.0,80.0,2295.0,485.0,5.0
2904.0,18.0,2014.0,10.0,139.0,0.8,4.33,0.05,0.9,6.08,82.0,47.0,54.0,988.0,442.0,1.0
5779.0,16.0,2001.0,0.0,277.0,2.45,2.01,0.87,0.72,6.05,96.0,42.0,84.0,1026.0,774.0,5.0
8813.0,8.0,1992.0,4.0,447.0,4.47,1.2,0.16,0.19,6.03,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
5778.0,15.0,1998.0,0.0,277.0,3.18,1.83,0.78,0.24,6.03,94.0,20.0,91.0,918.0,774.0,5.0
5783.0,17.0,2008.0,0.0,277.0,2.63,1.71,0.83,0.82,5.99,94.0,82.0,84.0,3558.0,801.0,5.0
3158.0,16.0,2006.0,7.0,466.0,1.88,0.0,2.33,1.74,5.95,92.0,64.0,73.0,972.0,1351.0,7.0
9862.0,17.0,2013.0,0.0,459.0,2.41,2.18,0.28,0.99,5.87,95.0,98.0,88.0,8003.0,977.0,5.0
5192.0,17.0,2008.0,4.0,457.0,2.8,1.98,0.17,0.87,5.82,95.0,85.0,65.0,5311.0,1232.0,1.0
7815.0,15.0,1998.0,0.0,543.0,1.88,1.47,2.02,0.45,5.82,89.0,13.0,89.0,364.0,264.0,5.0
2458.0,4.0,2009.0,7.0,361.0,0.63,0.67,4.35,0.15,5.78,87.0,65.0,85.0,197.0,832.0,2.0
